시점,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
　　　라트비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,328","2,429","2,681","2,971","3,148","3,358","3,573","4,132","5,135","6,364","7,575","9,700","14,091","16,422","12,288","11,380","13,776","13,923","15,123","15,714","13,775","14,316","15,643","17,850","17,794","17,620"
　　　리히텐슈타인,-,-,-,-,-,-,-,-,-,-,"4,236","4,827","5,638","7,355","8,440","10,513","11,386","12,412","17,499","19,761","20,660","19,507","19,677","19,561","18,596","19,390","28,287","37,824","41,292","39,369","49,374","50,886","55,198","55,794","64,051","78,632","79,863","72,209","76,757","81,307","74,854","74,287","79,346","89,860","100,289","105,399","114,374","130,656","143,264","126,097","141,193","158,130","149,010","173,030","178,865","167,313","165,642","171,254","180,367",-,-
　　　리투아니아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,168","2,327","2,830","3,167","3,113","3,293","3,526","4,142","5,499","6,700","7,855","9,231","12,285","14,945","11,821","11,988","14,377","14,368","15,730","16,551","14,258","14,998","16,844","19,167","19,555","19,998"
　　　룩셈부르크,"2,242","2,222","2,312","2,441","2,756","2,780","2,900","2,910","3,175","3,659","4,450","4,592","5,680","7,710","9,283","9,008","9,825","10,856","13,494","15,740","17,114","14,325","13,035","12,810","12,554","12,922","18,790","23,235","26,108","27,556","34,645","37,007","40,966","41,479","45,482","52,831","52,572","47,042","47,584","51,654","48,736","48,179","52,931","65,446","75,716","80,290","89,740","106,018","114,294","103,199","104,965","115,762","106,749","113,625","118,824","101,376","104,278","107,361","116,597","114,685","115,874"
　　　네덜란드,"1,069","1,159","1,241","1,328","1,542","1,708","1,836","1,991","2,185","2,643","2,927","3,379","4,104","5,346","6,441","7,336","7,926","9,167","11,179","12,799","13,792","11,520","11,073","10,680","9,977","9,926","13,784","16,710","17,745","17,398","21,291","21,732","23,904","23,122","24,646","29,258","29,007","26,701","27,886","28,263","26,149","26,873","29,204","35,672","40,362","41,979","44,863","51,733","57,644","52,514","50,950","54,159","50,073","52,184","52,830","45,175","46,008","48,555","53,019","52,295","52,304"
　　　노르웨이,"1,442","1,560","1,667","1,776","1,938","2,164","2,317","2,514","2,662","2,875","3,306","3,736","4,414","5,690","6,812","8,204","8,927","10,266","11,463","13,047","15,772","15,513","15,225","14,928","14,989","15,754","18,883","22,506","24,207","24,281","28,243","28,597","30,524","27,964","29,316","34,876","37,322","36,629","34,788","36,371","38,131","38,543","43,084","50,135","57,604","66,810","74,148","85,140","96,944","79,978","87,694","100,601","101,524","102,913","97,019","74,356","70,461","75,497","82,268","75,826","67,294"
　　　폴란드,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,731","2,236","2,459","2,497","2,875","3,687","4,147","4,123","4,518","4,398","4,501","4,991","5,207","5,702","6,681","8,022","9,035","11,255","13,996","11,526","12,613","13,880","13,097","13,696","14,271","12,578","12,447","13,865","15,468","15,695","15,656"
　　　포르투갈,360,383,408,433,469,521,575,647,719,796,934,"1,065","1,302","1,748","2,000","2,128","2,173","2,267","2,457","2,756","3,368","3,246","3,080","2,735","2,523","2,705","3,862","4,804","5,624","6,056","7,885","8,959","10,811","9,535","9,977","11,781","12,185","11,576","12,199","12,471","11,498","11,725","12,875","15,763","18,031","18,773","19,823","22,782","24,848","23,060","22,499","23,187","20,565","21,647","22,074","19,242","19,978","21,437","23,551","23,285","22,440"
　　　슬로바키아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,406","2,691","2,921","3,102","3,771","4,819","5,197","5,147","5,539","5,644","5,413","5,717","6,534","8,713","10,672","11,686","13,160","16,086","18,677","16,532","16,751","18,362","17,482","18,260","18,674","16,311","16,509","17,504","19,365","19,273","19,157"
　　　슬로베니아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,730","10,815","10,455","11,176","11,453","10,201","10,480","11,777","14,849","17,233","18,099","19,673","23,788","27,483","24,694","23,510","25,095","22,643","23,497","24,215","20,882","21,664","23,455","26,103","25,941","25,180"
　　　스페인,396,450,520,609,675,775,890,968,951,"1,078","1,212","1,362","1,709","2,248","2,750","3,210","3,279","3,628","4,356","5,770","6,209","5,371","5,160","4,479","4,490","4,700","6,514","8,240","9,703","10,682","13,805","14,812","16,112","13,340","13,415","15,472","16,109","14,731","15,394","15,715","14,713","15,356","17,026","21,463","24,861","26,419","28,365","32,550","35,366","32,042","30,503","31,636","28,324","29,060","29,462","25,732","26,505","28,101","30,375","29,565","27,057"
　　　스웨덴,"2,114","2,289","2,469","2,657","2,941","3,206","3,454","3,721","3,926","4,234","4,736","5,133","6,027","7,301","8,090","10,117","10,868","11,449","12,621","14,877","17,098","15,586","13,739","12,608","13,099","13,667","17,981","21,793","24,535","25,662","30,594","31,823","32,801","24,425","26,084","30,283","32,999","30,312","30,597","30,941","29,625","27,248","29,899","37,322","42,822","43,437","46,594","53,700","56,153","46,947","52,869","60,756","58,038","61,127","60,020","51,545","51,965","53,792","54,589","51,687","51,926"
　　　스위스,"1,787","1,971","2,131","2,294","2,501","2,620","2,785","2,961","3,122","3,345",-,-,-,-,-,-,-,-,-,-,"19,410","17,680","18,015","17,874","17,006","17,167","24,480","30,466","32,718","31,335","39,608","39,578","40,748","39,270","43,128","50,156","48,145","41,631","42,740","41,786","38,952","39,728","42,579","49,470","54,878","56,547","59,301","65,360","74,572","72,083","77,117","91,254","86,548","88,109","89,685","84,776","83,073","83,352","86,430","85,300","86,602"
　　　영국,"1,398","1,472","1,526","1,613","1,748","1,874","1,987","2,059","1,952","2,101","2,348","2,650","3,030","3,426","3,666","4,300","4,138","4,681","5,977","7,805","10,032","9,599","9,146","8,692","8,179","8,652","10,611","13,119","15,987","16,239","19,095","19,901","20,487","18,389","19,709","23,124","24,333","26,720","28,239","28,666","28,156","27,718","29,983","34,384","40,209","41,933","44,473","50,445","47,267","38,737","39,537","42,048","42,449","43,401","47,452","45,039","41,048","40,305","42,993","42,354","40,285"
　　　오스트레일리아,"1,808","1,875","1,852","1,964","2,128","2,278","2,340","2,576","2,720","2,987","3,300","3,490","3,944","4,764","6,473","6,994","7,477","7,765","8,242","9,282","10,194","11,834","12,767","11,519","12,432","11,438","11,364","11,625","14,255","17,799","18,212","18,822","18,570","17,635","18,046","20,320","21,861","23,469","21,319","20,533","21,679","19,491","20,082","23,447","30,431","33,999","36,045","40,960","49,602","42,772","52,022","62,518","68,012","68,150","62,511","56,756","49,971","54,028","57,355","55,057","51,812"
　　　뉴질랜드,"2,313","2,343","2,449","2,622","2,814","2,151","2,191","2,188","1,885","2,078",-,"2,773","3,295","4,323","4,611","4,172","4,374","4,951","5,937","6,668","7,467","7,814","7,656","7,598","6,714","7,601","9,428","12,331","13,759","13,312","13,663","12,230","11,793","13,094","15,280","17,400","18,794","17,474","14,738","15,322","13,641","13,883","16,874","21,914","25,420","27,751","26,655","32,480","31,253","28,209","33,677","38,388","39,973","42,977","44,573","38,631","40,080","42,993","43,306","41,999","41,792"
